"We strongly advice to install the <a href='http://www.magentocommerce.com/magento-connect/ibanners.html' target='_blank'>Fishpig_iBanners</a> module.","Wij raden aan om de <a href='http://www.magentocommerce.com/magento-connect/ibanners.html' target='_blank'>Fishpig_iBanners</a> module te installeren."
"An error occurred while creating the container for this case. Are you sure that your IQNOMY-credentials are correct?","Er is een fout opgetreden tijdens het aanmaken van de container voor deze case. Weet u zeker dat uw IQNOMY-inloggegevens correct zijn?"
"No iBanner group was selected.","Er is geen iBanner groep geselecteerd."
"Please enter an HTML-id.","Vul een HTML-id in a.u.b."
"The height has to be greater than 0.","De hoogte moet groter dan 0 zijn."
"An error occurred while saving the case.","Er is een fout opgetreden tijdens het opslaan van de case."
"The case settings have been saved.","De instellingen voor de case zijn opgeslagen."
"HTML template","HTML template"
'You can use the following items in your html template: ${imageUrl} for the product image, ${title} for the product name, ${url} for the url to the product page & ${price} for the product price.','U kunt de volgende items in uw html template gebruiken: ${imageUrl} voor de product afbeelding (de afbeelding met label: iqnomy heeft voorrang), ${title} voor de product naam, ${url} voor de url naar het product & ${price} voor de prijs van het product.'
"The selected product does not exist.","Het geselecteerde product bestaat niet."
"More info","Meer info"
"Screenshot","Screenshot"
"Case ok","Ingesteld"
"Not placed","Niet geplaatst"
"No liquid contents","Geen liquid contents"
"Not used","Niet ingesteld"
"Click on the synchronize button to send the product attributes to IQNOMY. IQNOMY will automatically create interest dimension.","Klik op de synchroniseer knop om productkenmerken naar IQNOMY te sturen. IQNOMY zet deze automatisch om in interesse dimensies van de bezoeker."
"To track the visitor realtime, click on the login button at the left side of this page. With Liquid Internet you boost the conversion and customer engagement.","Om de bezoeker realtime te volgen, klik op de login knop aan de linkerkant. Met Liquid Internet verhoogd u de conversie en klantbetrokkenheid!"
"Start directly with Liquid Internet? We have create a small selection for you. Visit %s to see more Liquid Internet cases.","Liquid Internet meteen toepassen? We hebben vast een kleine selectie voor u gemaakt. Ga naar %s om meer Liquid Internet cases te bekijken."
"Case","Case"
"Description","Omschrijving"
"Status","Status"
"Setup / Edit","Instellen / Wijzigen"
"iBanner group","iBanner groep"
"Liquid Internet Cases","Liquid Internet Cases"
"Example","Voorbeeld"
"Search product","Product zoeken"
"Close","Sluiten"
"Search","Zoeken"
"Your IQNOMY configuration is not valid.","Uw IQNOMY configuratie is niet geldig."
"Empty username configured.","U heeft geen IQNOMY gebruikersnaam opgegeven in de configuratie."
"Empty tenant ID configured.","U heeft geen IQNOMY account ID opgegeven in de configuratie."
"Empty API key configured.","U heeft geen IQNOMY webservice key opgegeven in de configuratie."
"Select for which interests this banner should be shown to the visitor.","Selecteer bij welke interesses deze banner getoond moet worden aan de bezoeker."
"In this list you can see the default content that you configured through the ibanner module.","In deze lijst kunt u de standaard content bekijken die u ingesteld heeft via de ibanner module."
"Default contents","Standaard content"
"Select the iBanner group which you would like to personalize.","Selecteer de iBanner groep die u wilt personaliseren."
"No default contents found.","Er is geen standaard content gevonden."
"An error occurred while saving the banner to the IQNOMY-platform.","Er is een fout opgetreden tijdens het opslaan van de banner naar het IQNOMY-platform."
"An error occurred while removing the banner from the IQNOMY-platform.","Er is een fout opgetreden tijdens het verwijderen van de banner in het IQNOMY-platform"
"An error occurred while retreiving the dimensions from the IQNOMY-platform.","Er is een fout opgetreden tijdens het ophalen van de dimensies vanaf het IQNOMY-platform."
"Disable","Uitschakelen"
"Enable","Inschakelen"
"The case has been disabled.","De case is uitgeschakeld."
"The case has been enabled.","De case is ingeschakeld."
"Open in the same window.","Open in hetzelfde scherm."
"Open in a new tab or window.","Open een nieuw tablad of venster."
"Select image","Selecteer afbeelding"
"Change image","Wijzig afbeelding"
"Current image","Huidige afbeelding"
"If there is no profile of the visitor, this type will be used to select content.","Als er geen bezoekersprofiel bekend is, wordt dit type gebruikt om content te selecteren."
"settings of case ","instellingen Case "
"Edit liquid content: ","Liquid content wijzigen: "
"Edit container: ","Container wijzigen: "
"Edit liquid internet case: ","Liquid internet case wijzigen: "
"Other containers. (These are containers that are not used by an case.)","Overige containers. (Deze containers zijn niet gebruikt door de standaard cases.)"
"Advanced: Containers","Geavanceerd: Containers"
"Advanced: Created contents","Geavanceerd: Aangemaakte contents"
"Nothing was found to syncronize.","Er is niks gevonden om te synchronisen."
"Enter on which pages this content may appear. WARNING: Before adding pages, be sure the page has been visited while the plugin has been installed.","Vul hier de pagina's in waarop deze content voor kan komen. WAARSCHUWING: U kunt hier alleen pagina's invullen die minimaal één keer bezocht zijn terwijl de plugin geinstalleerd was."
"Delete","Verwijderen"
"Available variables: ","Beschikbare variabelen: "
"Whitepaper example case","Whitepaper voorbeeldcase"
"Banners","Banners"
"Add banner","Banner toevoegen"
"Edit banner","Banner aanpassen"
"Products","Producten"
"Add product","Product toevoegen"
"Edit product","Product aanpassen"
"Below you can see the containers which are not linked to one of the above cases.","Hieronder ziet u een lijst met containers die niet gekoppeld zijn aan één van de bovenstaande cases."
"At least one page should be added to the case before you can review contents.","Er moet minimaal 1 pagina toegevoegd zijn aan de case om content te kunnen reviewen."
"Select on which page you would like to see the preview.","Selecteer op welke pagina u de content wilt reviewen."
"Search image","Afbeelding zoeken"
"No images were found.","Er zijn geen afbeeldingen gevonden."
"Select","Selecteer"
"Upload image","Afbeelding uploaden"
"or","of"
"Warning: Enter the ID of the HTML-element in which the personalized banner should be placed. For example: &lt;div id=&quot;<b>this-is-an-id</b>&quot;&gt; or &lt;ul id=&quot;<b>this-is-also-an-id</b>&quot;&gt; or &lt;span id=&quot;<b>this-is-also-an-id</b>&quot;&gt;, etc.","Let op: Geef hier het ID van het HTML-element waarin de gepersonaliseerde banner geplaatst moet worden. Mogelijkheden: &lt;div id=&quot;<b>dit-is-een-id</b>&quot;&gt; of &lt;ul id=&quot;<b>this-is-also-an-id</b>&quot;&gt; of &lt;span id=&quot;<b>dit-is-ook-een-id</b>&quot;&gt;, etc."
"Warning: Enter the ID of the HTML-element in which the personalized products should be placed. For example: &lt;div id=&quot;<b>this-is-an-id</b>&quot;&gt; or &lt;ul id=&quot;<b>this-is-also-an-id</b>&quot;&gt; or &lt;span id=&quot;<b>this-is-also-an-id</b>&quot;&gt;, etc.","Let op: Geef hier het ID van het HTML-element waarin de gepersonaliseerde producten geplaatst moet worden. Mogelijkheden: &lt;div id=&quot;<b>dit-is-een-id</b>&quot;&gt; of &lt;ul id=&quot;<b>this-is-also-an-id</b>&quot;&gt; of &lt;span id=&quot;<b>dit-is-ook-een-id</b>&quot;&gt;, etc."
"Enter the pages on which this content could appear. Warning: You can only enter pages which at least have been visited once while this plugin was installed. Please don't forget to click on save afterwards in the upper-right corner of this page.","Vul hier de pagina's in waarop deze content voor kan komen. Let op: U kunt hier alleen pagina's invullen die minimaal één keer bezocht zijn terwijl de plugin geinstalleerd was. Klik op opslaan (rechtsboven)"
"Advanced","Geavanceerd"
"Click on edit to change the status.","Klik op wijzigen om de status te veranderen."
"Availible variables for product: ","Beschikbare variabelen voor product: "
"Variables","Variabelen"
"Selected products","Geselecteerde producten"
"Custom containers","Custom containers"
"Area of interest","Interessegebied"
"Areas of interest","Interessegebieden"
"Template code","Template code"
"Code","Atribuut code"
"Value","Waarde"
"Contents","Contents"
"Liquid contents for container: ","Liquid contents van container: "
"The container has been enabled.","De container is ingeschakeld."
"The container has been disabled.","De container is uitgeschakeld."
"Selected banners","Geselecteerde banners"
"Pop-up title","Pop-up titel"
"Pop-up submit text","Pop-up submit tekst"
"Above you can add an image that will be shown in the pop-up. It is recommended to choose an image with at least a width of 400 pixels.","U kunt hier een afbeelding toevoegen die in de pop-up getoond moet worden. Het is aanbevolen om een afbeelding te kiezen die minimaal 400 pixels breed is."
"Alt text","Alt tekst"
"Color code","Kleurcode"
"Enter the color code for the title bar, the submit button and the borders.","Vul hier de kleurcode in voor de titelbalk, submit knop en de randen."
"Close button color","Sluit knop kleur"
"Yellow","Geel"
"White","Wit"
"Red","Rood"
"Purple","Paars"
"Orange","Oranje"
"Grey","Grijs"
"Green","Groen"
"Blue","Blauw"
"Amount of results per category","Aantal resultaten per categorie"
"Selected pop-up","Geselecteerde pop-up"
"The case has not been saved yet.","De case is nog niet opgeslagen."
"The product you selected has no images and can't be used.","Het product dat u gekozen heeft, heeft geen afbeeldingen en kan daarom niet gebruikt worden."
"The product has been deleted from the case.","Het product is verwijderd uit de case."
"The product could not be deleted from the case.","Het product kon niet uit de case worden verwijderd."
"The banner has been deleted.","De banner is verwijderd uit de case."
"The banner could not be deleted.","De banner kon niet uit de case worden verwijderd."
"The banner has been added to the case.","De banner is toegevoegd aan de case."
"The product has been added to the case.","Het product is toegevoegd aan de case."
"In the table you can see all the newsletter subscribers which subscribed through the IQNOMY pop-up. These subscriptions also can be found at 'Newsletter > Newsletter subscriptions'.","In de tabel zijn alle nieuwsbrief inschrijvingen weergegeven die lid zijn geworden via de IQNOMY pop-up. Deze inschrijvingen vind je ook terug bij 'Nieuwsbrief > Nieuwsbrief abonnees'."
"Start with ","Starten met "
"Explanation default case ","Uitleg standaard case "
"Are you sure you want to reset the HTML? All changes you made to it, will be reverted!","Weet u zeker dat u de HTML wilt herstellen? Alle veranderingen die u aan de HTML gemaakt heeft, zullen gewist worden!"
"Reset HTML","HTML herstellen"
"The HTML has been reset.","De HTML is gehersteld."
"An error occurred while resetting the HTML.","Er is een fout opgetreden tijdens het herstellen van de HTML."
